epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.552,1.22195,2.90234,1.2562,0.685,0.67817,0.71793,0.53712,0.95318,1.16136,1.06248,8.31764e-05,8.31764e-05,8.31764e-05
2,230.891,0.96027,1.31856,1.11261,0.91739,0.84198,0.91056,0.69855,0.89594,0.72165,1.05348,0.000162389,0.000162389,0.000162389
3,332.462,0.89811,1.02592,1.08034,0.94016,0.86236,0.92865,0.72039,0.85032,0.62019,1.0286,0.000237476,0.000237476,0.000237476
4,439.353,0.84417,0.90585,1.0617,0.94435,0.88323,0.93665,0.73753,0.82546,0.56719,1.02129,0.000231438,0.000231438,0.000231438
5,568.13,0.82335,0.83743,1.05283,0.94174,0.89519,0.94194,0.74076,0.81926,0.53132,1.02947,0.00022525,0.00022525,0.00022525
6,694.515,0.80842,0.79601,1.04187,0.95914,0.89107,0.94626,0.75233,0.80196,0.50661,1.01487,0.000219062,0.000219062,0.000219062
7,824.681,0.78651,0.74769,1.03239,0.92316,0.91894,0.95347,0.7576,0.80311,0.49784,1.01588,0.000212875,0.000212875,0.000212875
8,938.026,0.76169,0.71358,1.02657,0.93885,0.91303,0.95228,0.7515,0.82227,0.48368,1.02028,0.000206688,0.000206688,0.000206688
9,1047.55,0.75076,0.68957,1.01868,0.95009,0.91341,0.95965,0.76989,0.78711,0.45624,1.01438,0.0002005,0.0002005,0.0002005
10,1154.45,0.73301,0.67174,1.01517,0.95693,0.91674,0.96731,0.77483,0.79756,0.44581,1.00847,0.000194313,0.000194313,0.000194313
11,1260.72,0.72131,0.65085,1.01054,0.93839,0.93382,0.96767,0.78053,0.78188,0.43187,1.00414,0.000188125,0.000188125,0.000188125
12,1367.67,0.71107,0.64008,1.00475,0.9538,0.91449,0.95647,0.77795,0.76713,0.44495,1.00357,0.000181937,0.000181937,0.000181937
13,1474.85,0.69957,0.6225,0.99958,0.94124,0.92286,0.96497,0.78374,0.76262,0.42725,0.99491,0.00017575,0.00017575,0.00017575
14,1581.39,0.68675,0.61444,0.9947,0.94754,0.92687,0.96179,0.77974,0.77294,0.41842,1.00191,0.000169563,0.000169563,0.000169563
15,1688.05,0.68042,0.59509,0.98997,0.95678,0.93064,0.97012,0.79665,0.74934,0.39721,1.00147,0.000163375,0.000163375,0.000163375
16,1796.51,0.67338,0.59122,0.98757,0.95015,0.94286,0.97326,0.7931,0.77066,0.40034,1.00411,0.000157188,0.000157188,0.000157188
17,1903.45,0.65971,0.56693,0.97818,0.96518,0.92932,0.96976,0.7949,0.7502,0.39235,0.99695,0.000151,0.000151,0.000151
18,2012.11,0.66023,0.56248,0.97998,0.95941,0.92974,0.97003,0.7986,0.74342,0.38438,0.99872,0.000144812,0.000144812,0.000144812
19,2120.02,0.64717,0.55623,0.97531,0.95257,0.93711,0.97115,0.79613,0.75117,0.37558,0.99847,0.000138625,0.000138625,0.000138625
20,2229.31,0.64203,0.54687,0.97323,0.95832,0.94803,0.97568,0.80486,0.74432,0.3707,0.99641,0.000132438,0.000132438,0.000132438
21,2336.73,0.62835,0.53209,0.96779,0.9636,0.92447,0.96954,0.79867,0.74717,0.38594,0.99294,0.00012625,0.00012625,0.00012625
22,2442.9,0.62823,0.53115,0.96475,0.9616,0.94451,0.97532,0.80621,0.75087,0.37023,0.99726,0.000120063,0.000120063,0.000120063
23,2549.04,0.62166,0.51685,0.96233,0.96618,0.94693,0.97647,0.80874,0.73354,0.35912,0.98955,0.000113875,0.000113875,0.000113875
24,2655.33,0.61375,0.51796,0.95998,0.96342,0.94367,0.97344,0.80835,0.73658,0.3673,0.98911,0.000107688,0.000107688,0.000107688
25,2761.32,0.6025,0.50741,0.95601,0.96275,0.94217,0.97437,0.8117,0.72661,0.36596,0.98298,0.0001015,0.0001015,0.0001015
26,2867.89,0.60099,0.50259,0.95581,0.96562,0.94151,0.97429,0.81047,0.72845,0.36298,0.9838,9.53125e-05,9.53125e-05,9.53125e-05
27,2973.65,0.59209,0.50036,0.95355,0.96261,0.94104,0.97554,0.81549,0.72412,0.35826,0.98386,8.9125e-05,8.9125e-05,8.9125e-05
28,3082.08,0.58583,0.49062,0.94705,0.9657,0.93786,0.97605,0.81115,0.73197,0.35987,0.98728,8.29375e-05,8.29375e-05,8.29375e-05
29,3194.09,0.58367,0.4904,0.94813,0.96752,0.94197,0.97796,0.81812,0.71832,0.34987,0.97951,7.675e-05,7.675e-05,7.675e-05
30,3310.59,0.58291,0.47942,0.94477,0.9593,0.95058,0.97687,0.81632,0.72037,0.34793,0.97809,7.05625e-05,7.05625e-05,7.05625e-05
31,3432.89,0.51505,0.30349,0.91162,0.95975,0.94725,0.97595,0.81694,0.72017,0.35103,0.97939,6.4375e-05,6.4375e-05,6.4375e-05
32,3544.17,0.50204,0.29101,0.90906,0.95818,0.95026,0.97642,0.81723,0.72014,0.34663,0.98275,5.81875e-05,5.81875e-05,5.81875e-05
33,3656.83,0.49507,0.2855,0.90355,0.96741,0.94191,0.97561,0.81709,0.71661,0.34873,0.97631,5.2e-05,5.2e-05,5.2e-05
34,3768.28,0.48334,0.27802,0.90012,0.96527,0.94755,0.97625,0.82023,0.7153,0.34834,0.97912,4.58125e-05,4.58125e-05,4.58125e-05
35,3879.33,0.4771,0.27412,0.893,0.95411,0.95091,0.9759,0.82311,0.70869,0.34561,0.97473,3.9625e-05,3.9625e-05,3.9625e-05
36,3989.76,0.46852,0.2698,0.88713,0.96192,0.94513,0.97616,0.82358,0.70857,0.34397,0.97145,3.34375e-05,3.34375e-05,3.34375e-05
37,4100.45,0.46377,0.26634,0.88501,0.96867,0.94451,0.97779,0.82581,0.71203,0.34025,0.97118,2.725e-05,2.725e-05,2.725e-05
38,4206.74,0.45585,0.25857,0.88168,0.96481,0.94855,0.97689,0.82387,0.71114,0.34002,0.97123,2.10625e-05,2.10625e-05,2.10625e-05
39,4311.67,0.44808,0.25462,0.87652,0.96396,0.9501,0.97654,0.8256,0.70846,0.33921,0.97168,1.4875e-05,1.4875e-05,1.4875e-05
